location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
153,"London Hillingdon","pm25",5,"µg/m³","2025-12-08T04:00:00Z","2025-12-08T04:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",5,"µg/m³","2025-12-08T05:00:00Z","2025-12-08T05:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",5,"µg/m³","2025-12-08T06:00:00Z","2025-12-08T06:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",5,"µg/m³","2025-12-08T07:00:00Z","2025-12-08T07:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",5,"µg/m³","2025-12-08T08:00:00Z","2025-12-08T08:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",5,"µg/m³","2025-12-08T09:00:00Z","2025-12-08T09:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",5,"µg/m³","2025-12-08T10:00:00Z","2025-12-08T10:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",5,"µg/m³","2025-12-08T11:00:00Z","2025-12-08T11:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",5,"µg/m³","2025-12-08T12:00:00Z","2025-12-08T12:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",5,"µg/m³","2025-12-08T13:00:00Z","2025-12-08T13:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",6,"µg/m³","2025-12-08T14:00:00Z","2025-12-08T14:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",6,"µg/m³","2025-12-08T15:00:00Z","2025-12-08T15:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",6,"µg/m³","2025-12-08T16:00:00Z","2025-12-08T16:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",6,"µg/m³","2025-12-08T17:00:00Z","2025-12-08T17:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",6,"µg/m³","2025-12-08T18:00:00Z","2025-12-08T18:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",6,"µg/m³","2025-12-08T19:00:00Z","2025-12-08T19:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",7,"µg/m³","2025-12-08T20:00:00Z","2025-12-08T20:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",7,"µg/m³","2025-12-08T21:00:00Z","2025-12-08T21:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",7,"µg/m³","2025-12-08T22:00:00Z","2025-12-08T22:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",7,"µg/m³","2025-12-08T23:00:00Z","2025-12-08T23:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",7,"µg/m³","2025-12-09T00:00:00Z","2025-12-09T00:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",7,"µg/m³","2025-12-09T01:00:00Z","2025-12-09T01:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",7,"µg/m³","2025-12-09T02:00:00Z","2025-12-09T02:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",7,"µg/m³","2025-12-09T03:00:00Z","2025-12-09T03:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",6,"µg/m³","2025-12-09T04:00:00Z","2025-12-09T04:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",6,"µg/m³","2025-12-09T05:00:00Z","2025-12-09T05:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",6,"µg/m³","2025-12-09T06:00:00Z","2025-12-09T06:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",6,"µg/m³","2025-12-09T07:00:00Z","2025-12-09T07:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",6,"µg/m³","2025-12-09T08:00:00Z","2025-12-09T08:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",6,"µg/m³","2025-12-09T09:00:00Z","2025-12-09T09:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",6,"µg/m³","2025-12-09T10:00:00Z","2025-12-09T10:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",6,"µg/m³","2025-12-09T11:00:00Z","2025-12-09T11:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",6,"µg/m³","2025-12-09T12:00:00Z","2025-12-09T12:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",5,"µg/m³","2025-12-09T13:00:00Z","2025-12-09T13:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",5,"µg/m³","2025-12-09T14:00:00Z","2025-12-09T14:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",5,"µg/m³","2025-12-09T15:00:00Z","2025-12-09T15:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",5,"µg/m³","2025-12-09T16:00:00Z","2025-12-09T16:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",5,"µg/m³","2025-12-09T17:00:00Z","2025-12-09T17:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",5,"µg/m³","2025-12-09T18:00:00Z","2025-12-09T18:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",5,"µg/m³","2025-12-09T19:00:00Z","2025-12-09T19:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",5,"µg/m³","2025-12-09T20:00:00Z","2025-12-09T20:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",5,"µg/m³","2025-12-09T21:00:00Z","2025-12-09T21:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",6,"µg/m³","2025-12-09T22:00:00Z","2025-12-09T22:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",6,"µg/m³","2025-12-09T23:00:00Z","2025-12-09T23:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",6,"µg/m³","2025-12-10T00:00:00Z","2025-12-10T00:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",7,"µg/m³","2025-12-10T02:00:00Z","2025-12-10T02:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",7,"µg/m³","2025-12-10T03:00:00Z","2025-12-10T03:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",7,"µg/m³","2025-12-10T04:00:00Z","2025-12-10T04:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",7,"µg/m³","2025-12-10T05:00:00Z","2025-12-10T05:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",7,"µg/m³","2025-12-10T06:00:00Z","2025-12-10T06:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",8,"µg/m³","2025-12-10T07:00:00Z","2025-12-10T07:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",8,"µg/m³","2025-12-10T08:00:00Z","2025-12-10T08:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",8,"µg/m³","2025-12-10T09:00:00Z","2025-12-10T09:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",8,"µg/m³","2025-12-10T10:00:00Z","2025-12-10T10:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",8,"µg/m³","2025-12-10T11:00:00Z","2025-12-10T11:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",8,"µg/m³","2025-12-10T12:00:00Z","2025-12-10T12:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",8,"µg/m³","2025-12-10T13:00:00Z","2025-12-10T13:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",8,"µg/m³","2025-12-10T14:00:00Z","2025-12-10T14:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",8,"µg/m³","2025-12-10T15:00:00Z","2025-12-10T15:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",8,"µg/m³","2025-12-10T16:00:00Z","2025-12-10T16:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",9,"µg/m³","2025-12-10T17:00:00Z","2025-12-10T17:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",9,"µg/m³","2025-12-10T18:00:00Z","2025-12-10T18:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",9,"µg/m³","2025-12-10T19:00:00Z","2025-12-10T19:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",9,"µg/m³","2025-12-10T20:00:00Z","2025-12-10T20:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",9,"µg/m³","2025-12-10T21:00:00Z","2025-12-10T21:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",9,"µg/m³","2025-12-10T22:00:00Z","2025-12-10T22:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",9,"µg/m³","2025-12-10T23:00:00Z","2025-12-10T23:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",9,"µg/m³","2025-12-11T00:00:00Z","2025-12-11T00:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",9,"µg/m³","2025-12-11T03:00:00Z","2025-12-11T03:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",9,"µg/m³","2025-12-11T04:00:00Z","2025-12-11T04:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",9,"µg/m³","2025-12-11T05:00:00Z","2025-12-11T05:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",9,"µg/m³","2025-12-11T06:00:00Z","2025-12-11T06:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",9,"µg/m³","2025-12-11T07:00:00Z","2025-12-11T07:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",9,"µg/m³","2025-12-11T08:00:00Z","2025-12-11T08:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",9,"µg/m³","2025-12-11T09:00:00Z","2025-12-11T09:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",9,"µg/m³","2025-12-11T10:00:00Z","2025-12-11T10:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",8,"µg/m³","2025-12-11T11:00:00Z","2025-12-11T11:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",8,"µg/m³","2025-12-11T12:00:00Z","2025-12-11T12:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",8,"µg/m³","2025-12-11T13:00:00Z","2025-12-11T13:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",8,"µg/m³","2025-12-11T14:00:00Z","2025-12-11T14:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",8,"µg/m³","2025-12-11T15:00:00Z","2025-12-11T15:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",8,"µg/m³","2025-12-11T16:00:00Z","2025-12-11T16:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",8,"µg/m³","2025-12-11T17:00:00Z","2025-12-11T17:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",8,"µg/m³","2025-12-11T18:00:00Z","2025-12-11T18:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",8,"µg/m³","2025-12-11T19:00:00Z","2025-12-11T19:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",8,"µg/m³","2025-12-11T20:00:00Z","2025-12-11T20:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",8,"µg/m³","2025-12-11T21:00:00Z","2025-12-11T21:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",8,"µg/m³","2025-12-11T22:00:00Z","2025-12-11T22:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",8,"µg/m³","2025-12-11T23:00:00Z","2025-12-11T23:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",8,"µg/m³","2025-12-12T00:00:00Z","2025-12-12T00:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",8,"µg/m³","2025-12-12T02:00:00Z","2025-12-12T02:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",7,"µg/m³","2025-12-12T03:00:00Z","2025-12-12T03:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",7,"µg/m³","2025-12-12T04:00:00Z","2025-12-12T04:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",7,"µg/m³","2025-12-12T05:00:00Z","2025-12-12T05:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",7,"µg/m³","2025-12-12T06:00:00Z","2025-12-12T06:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",7,"µg/m³","2025-12-12T07:00:00Z","2025-12-12T07:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",7,"µg/m³","2025-12-12T08:00:00Z","2025-12-12T08:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",7,"µg/m³","2025-12-12T09:00:00Z","2025-12-12T09:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",7,"µg/m³","2025-12-12T10:00:00Z","2025-12-12T10:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",6,"µg/m³","2025-12-12T11:00:00Z","2025-12-12T11:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",7,"µg/m³","2025-12-12T12:00:00Z","2025-12-12T12:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",6,"µg/m³","2025-12-12T13:00:00Z","2025-12-12T13:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",6,"µg/m³","2025-12-12T14:00:00Z","2025-12-12T14:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",6,"µg/m³","2025-12-12T15:00:00Z","2025-12-12T15:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",6,"µg/m³","2025-12-12T16:00:00Z","2025-12-12T16:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",6,"µg/m³","2025-12-12T17:00:00Z","2025-12-12T17:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",6,"µg/m³","2025-12-12T18:00:00Z","2025-12-12T18:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",6,"µg/m³","2025-12-12T19:00:00Z","2025-12-12T19:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",6,"µg/m³","2025-12-12T20:00:00Z","2025-12-12T20:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",5,"µg/m³","2025-12-12T21:00:00Z","2025-12-12T21:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",5,"µg/m³","2025-12-12T22:00:00Z","2025-12-12T22:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",5,"µg/m³","2025-12-12T23:00:00Z","2025-12-12T23:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
153,"London Hillingdon","pm25",5,"µg/m³","2025-12-13T00:00:00Z","2025-12-13T00:00:00Z","Europe/London",51.49633,-0.460861,,,,"Unknown Governmental Organization","DEFRA"
